cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,pct_muertes_covid,_den_pct_muertes_covid,_den_edad_prom_fallecimiento,fallecidos_2023,emigrantes_x1000,tasa_mortalidad
050303,367,24.660056657223794,63.76021798365122,367,8.174386920980927,367,21.25340599455041,367,3.8147138964577656,367,0.5449591280653951,367,367,495,58.98474945533769,9.090909090909092,495,495,117,25.546429068634275,8.144229430600028
050401,222,24.004608294930875,30.63063063063063,222,19.81981981981982,222,40.090090090090094,222,6.756756756756757,222,0.45045045045045046,222,222,606,49.93451327433628,8.745874587458745,606,606,177,13.567194279777548,10.81708733117399
050402,1204,25.123117803365812,17.19269102990033,1204,16.11295681063123,1204,58.63787375415282,1204,3.820598006644518,1204,1.4119601328903655,1204,1204,666,62.245098039215684,9.00900900900901,666,666,181,71.20468389614997,10.704358625584009
050403,517,25.815261044176708,31.334622823984525,517,12.379110251450676,517,45.26112185686654,517,5.222437137330754,517,3.094777562862669,517,517,1329,58.238735177865614,11.512415349887133,1329,1329,373,15.838975521583285,11.427345975919856
050404,548,24.546511627906977,17.153284671532848,548,22.62773722627737,548,49.08759124087591,548,4.562043795620438,548,4.014598540145985,548,548,487,55.507760532150776,10.472279260780287,487,487,123,37.70988164051748,8.464079273327828
050405,662,23.81528662420382,57.70392749244713,662,9.667673716012084,662,27.341389728096676,662,1.8126888217522659,662,0.6042296072507553,662,662,710,54.734026745913816,8.732394366197184,710,710,188,31.50730569701585,8.947694065013565
050501,403,24.11704834605598,17.3697270471464,403,18.36228287841191,403,54.59057071960298,403,4.962779156327543,403,1.2406947890818858,403,403,886,55.094545454545454,8.01354401805869,886,886,234,14.1821509009009,8.234797297297296
050502,401,24.377260981912144,21.197007481296758,401,22.194513715710723,401,36.15960099750623,401,7.980049875311721,401,4.488778054862843,401,401,399,60.28045325779037,11.027568922305765,399,399,111,37.42766473772634,10.360276274033975
050601,934,25.865342163355407,83.83297644539614,934,3.854389721627409,934,7.387580299785867,934,2.0342612419700212,934,0.10706638115631692,934,934,1026,62.80733944954128,8.966861598440547,1026,1026,260,31.963314054960474,8.897710550631395
050602,896,25.134976525821596,81.80803571428571,896,7.700892857142857,896,8.258928571428571,896,0.5580357142857143,896,0.33482142857142855,896,896,451,68.17209302325581,9.090909090909092,451,451,126,87.98114689709348,12.37234878240377
