cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,_den_edad_prom_fallecimiento,emigrantes_x1000,tasa_mortalidad
021401,891,24.43793103448276,27.384960718294053,891,38.15937149270483,891,8.754208754208754,891,10.1010101010101,891,4.1526374859708195,891,891,386.0,57.84,386.0,45.93493839253493,
021402,681,22.77307110438729,27.312775330396477,681,53.59765051395007,681,1.3215859030837005,681,7.782672540381792,681,0.7342143906020558,681,681,271.0,53.43579766536965,271.0,40.22445363260484,
021501,158,23.16025641025641,31.645569620253166,158,13.924050632911392,158,16.455696202531644,158,19.620253164556964,158,1.8987341772151898,158,158,96.0,42.204819277108435,96.0,16.876735740226447,
021502,315,25.624183006535947,22.857142857142858,315,13.968253968253968,315,16.50793650793651,315,25.396825396825395,315,1.5873015873015872,315,315,94.0,41.45569620253165,94.0,36.161175525198026,
021601,239,23.27426160337553,32.63598326359833,239,43.93305439330544,239,2.092050209205021,239,4.184100418410042,239,6.2761506276150625,239,239,142.0,54.07299270072993,142.0,18.352146202871843,
021602,25,23.28,56.0,25,12.0,25,0.0,25,4.0,25,0.0,25,25,34.0,53.03333333333333,34.0,7.610350076103501,
021701,911,22.744107744107744,27.442371020856204,911,49.066959385290886,911,2.854006586169045,911,6.586169045005488,911,0.6586169045005489,911,911,361.0,59.132716049382715,361.0,61.013997722858484,
021702,516,24.762278978389,49.8062015503876,516,37.7906976744186,516,1.550387596899225,516,1.937984496124031,516,0.5813953488372093,516,516,201.0,61.03045685279188,201.0,85.261070720423,
021703,49,24.04255319148936,34.69387755102041,49,36.734693877551024,49,4.081632653061225,49,6.122448979591836,49,2.0408163265306123,49,49,59.0,54.588235294117645,59.0,7.82622584251717,
021801,474,23.474945533769063,22.78481012658228,474,17.72151898734177,474,42.40506329113924,474,4.852320675105485,474,0.2109704641350211,474,474,127.0,58.10434782608696,127.0,53.51095055317227,
